_id,fid,au_number,inst_name,category,iu,phone_number,location_address,location_city,location_state,location_zip_code,location_1,title,salutation,first_name,middle_init,last_name,admin_phone,admin_pho_1
21451,133,300025414,Learning Tree,"Licensed, Private Academic School",Allegheny IU 3,(412)372-2744,2566 Haymaker Rd,Monroeville,PA,15146,0,Director,Ms,Catherine, ,Love,(724)217-4282, 
21452,134,203020018,Legacy Christian Academy,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)344-8968,250 Parkway Drive,Pittsburgh,PA,15228,0,Principal, ,Donnah, ,Vance, , 
21453,135,300025300,Light of Life Ministries Inc,"Other Private, Non-Licensed Entity",Pittsburgh-Mt Oliver IU 2,(412)321-4716,10 E North Ave,Pittsburgh,PA,15212,4721, , , , , , , 
21454,136,300025440,Louise Child Care Ctr,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,336 S Aiken Ave,Pittsburgh,PA,15232,1019, , , , , , , 
21455,137,300021510,Margaret Shadick Cyert Ctr for Early Ed & Prog,"Licensed, Private Academic School",Allegheny IU 3,(412)268-2149,1060 Morewood Ave,Pittsburgh,PA,15213,3814,Director,Ms,Sandra,J,Johns,(412)369-0240, 
21456,138,203020013,Mary of Nazareth Catholic Elementary School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(724)940-9020,1640 Fawcett Avenue,White Oak,PA,15131,0,Principal, ,Lisa, ,George, , 
21457,139,203025485,Mary of Nazareth Catholic School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)672-2360,1640 Fawcett Ave,White Oak,PA,15131,0,Principal,Miss,Lynda,B,McFarland, , 
21458,140,300020017,Methodist Union of Social Agencies,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)461-1800,120 E 9th Ave,Homestead,PA,15120,0, , , , , , , 
21459,141,300026330,Montessori Centre Academy Inc,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)486-6239,1014 William Flynn Hwy,Glenshaw,PA,15116,2636,Principal,Ms,Yolanda,N,Sweenie, , 
21460,142,300026470,Montessori Childrens Community,"Licensed, Private Academic School",Allegheny IU 3,(412)741-8982,474 Chadwick St,Sewickley,PA,15143,0,Director,Ms,Claire (Terri),T,Modic,(412)741-2279, 
21461,143,300026380,Montessori Childrens Schoolhouse,"Licensed, Private Academic School",Allegheny IU 3,(412)498-4332,150 Vanadium Rd,Bridgeville,PA,15017,0,Director,Ms,Elizabeth,J,Petruccelli,(412)498-4332, 
21462,144,300026340,Montessori Early Childhood Center,"Licensed, Private Academic School",Allegheny IU 3,(412)835-3340,2400 Old Washington Rd,Upper St Clair,PA,15241,0,Director,Ms,Joanne, ,Misko,(412)831-2464, 
21463,145,303020068,Montessori School for Creative Learning,"Licensed, Private Academic School",Allegheny IU 3,(724)457-5437,1627 Brodhead Rd,Moon Twp,PA,15108,0,Director,Ms,Nancy,L,Mehalic,(412)734-2470, 
21464,146,203024285,Mount Lebanon Montessori School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)563-2858,550 Sleepy Hollow Rd,Mount Lebanon,PA,15228,2645,Principal,Mrs,Megan, ,Steen, , 
21465,147,300026440,Mt Washington Childrens Center,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)381-1515,200 Southern Avenue,Pittsburgh,PA,15211,0,Director,Ms,Rose Marie, ,Smith,(412)487-5826, 
21466,148,303020075,Mushroom Family Learning Center,"Licensed, Private Academic School",Allegheny IU 3,(412)531-1225,1900 Cochran Road,Pittsburgh,PA,15220,0,Director,Ms,Joan, ,Harrison,(412)531-3621, 
21467,149,302020002,Neighborhood Academy,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)362-2001,709 North Aiken Ave,Pittsburgh,PA,15206,0,Principal,Ms,Josephine,B,Moore, , 
21468,150,303020003,New Outlook Academy,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)885-5200,900 Agnew Rd,Pittsburgh,PA,15227,0,Director,Mr,William, ,Styche,(412)751-4250, 
21469,151,303020076,New Story,"Licensed, Private Academic School",Allegheny IU 3,(412)373-2473,715 Bilberry Rd,Monroeville,PA,15146,0,Director,Ms,Denise,J,Rechtorik,(412)373-2473, 
21470,152,203024335,Noahs Ark Preschool/St Stephen Kindergarten,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)741-5231,405 Frederick Avenue,Sewickley,PA,15143,0,Principal,Mrs,Melissa,S,Hendricks, , 
21471,153,203024355,North American Martyrs School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)373-0889,2526 Haymaker Rd,Monroeville,PA,15146,3508,Principal,Mrs,Nikole, ,Laubham, , 
21472,154,203028011,North Hills Kumon,"Nonpublic, Non-Licensed School",Allegheny IU 3,(847)340-7662,1130 Perry Highway,Pittsburgh,PA,15237,0,Principal, ,Vrushali, ,Chandwaskar, , 
21473,155,300026980,North Pittsburgh Childrens House Inc,"Licensed, Private Academic School",Allegheny IU 3,(724)444-0480,5031 Oakview Dr,Gibsonia,PA,15044,0,Director,Ms,Marla,C,Pettit,(724)360-3324, 
21474,156,202026125,Northside Catholic School,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)761-5043,3854 Brighton Rd,Pittsburgh,PA,15212,1602,Principal, ,Rosanne, ,Kwiatkowski, , 
21475,157,202024495,Oakland Catholic High School,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)682-6633,144 N Craig St,Pittsburgh,PA,15213,2701,Principal,Mrs,Marisa, ,Greco, , 
21476,158,300028630,Orion Child Development Center,"Licensed, Private Academic School",Allegheny IU 3,(412)366-3330,8801 Peebles Rd,Allison Park,PA,15101,0,Director,Ms,Mary,A,Hajdukiewicz,(412)374-1396, 
21477,159,203020605,Our Lady Most Blessed Sacramnt,"Nonpublic, Non-Licensed School",Allegheny IU 3,(724)226-2345,800 Montana Avenue,Natrona Heights,PA,15065,2026,Principal, ,Audrey, ,Bowser, , 
21478,160,203024545,Our Lady of Grace School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)279-6611,1734 Bower Hill Rd,Pittsburgh,PA,15243,1545,Principal,Ms,Sharon, ,Loughran Brown, , 
21479,161,203024605,Our Lady Sacred Heart HS,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)264-5140,1504 Woodcrest Ave,Coraopolis,PA,15108,3054,Principal, ,Tim, ,Plocinik, , 
21480,162,300027200,Pace School,Approved Private School,Pittsburgh-Mt Oliver IU 2,(412)244-1900,2432 Greensburg Pike,Pittsburgh,PA,15221,0,Director,Ms,Karen,B,Shepherd,(412)260-9167, 
21481,163,300022270,Pittsburgh Cath Ed Program Inc,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,205 Orchard Pl,Pittsburgh,PA,15210,1617, , , , , , , 
21482,164,202024645,Pittsburgh New Church School,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)731-0122,299 Le Roi Road,Pittsburgh,PA,15208,0,Principal, ,Cynthia, ,Glenn, , 
21483,165,202024675,Pittsburgh Urban Christian Sch,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)244-1779,809 Center St,Pittsburgh,PA,15221,2963,Principal, ,Christy, ,Wauzzinski, , 
21484,166,300028150,Plea Development Preschool,"Other Private, Non-Licensed Entity",Pittsburgh-Mt Oliver IU 2,(412)243-3464,733 South Ave,Pittsburgh,PA,15221,2939, , , , , , , 
21485,167,303020074,PLEA School,"Licensed, Private Academic School",Allegheny IU 3,(412)243-3464,733 South Ave,Pittsburgh,PA,15221,0,Director,Ms,Deborah,A,Ferraro,(412)487-5204, 
21486,168,300028070,Potak House,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,1105 Island Ave,Pittsburgh,PA,15212,2843, , , , , , , 
21487,169,203021385,Praise Christian Academy,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)829-0400,245 Foster Rd,North Versailles,PA,15137,2438,Principal,Mrs,Mary Ann, ,Jacobs, , 
21488,170,300028120,Preschool Dev Program,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,10 Allegheny Center,Pittsburgh,PA,15212,5706, , , , , , , 
21489,171,300028220,Pressley Ridge Day School-Pittsburgh,Approved Private School,Pittsburgh-Mt Oliver IU 2,(412)321-6995,530 Marshall Ave,Pittsburgh,PA,15214,0,Director,Ms,Michele,L,Woodward,(412)321-6995, 
21490,172,302020006,Pressley Ridge School for Autism,"Licensed, Private Academic School",Allegheny IU 3,(412)322-0140,530 Marshall Ave,Pittsburgh,PA,15214,0,Director,Ms,Kathleen, ,Knell,(412)322-0140, 
21491,173,303020022,Pressley Ridge School for the Deaf Program,Approved Private School,Allegheny IU 3,(412)321-6995,40 Vancouver Street,Pittsburgh,PA,15205,0,Director,Ms,Natalie,L,Brayer,(412)321-6995, 
21492,174,300025390,Pumpkin Patch Preschool Inc,"Licensed, Private Academic School",Allegheny IU 3,(724)457-2029,1555 Brodhead Road,Coraopolis,PA,15108,0,Director,Ms,Justine, ,Roberts,(412)352-6419, 
21493,175,300028240,R B Ward Hm Chld,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)343-5985,50 Moffett St,Pittsburgh,PA,15243,1162, , , , , , , 
21494,176,300028230,Rankin Christian Center,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)271-8313,230 3rd Ave,Rankin,PA,15104,1191, , , , , , , 
21495,177,303020084,Redeemer Lutheran School-Oakmont,"Licensed, Private Academic School",Allegheny IU 3,(412)828-9323,1261 Pennsylvania Ave,Oakmont,PA,15139,0,Director,Ms,Stephanie,L,Stubenbort,(412)824-3413, 
21496,178,203024715,Redeemer Lutheran School-Verona,"Licensed, Private Academic School",Allegheny IU 3,(412)828-9323,700 Idaho Avenue,Verona,PA,15147,0,Director,Ms,Stephanie,L,Stubenbort,(412)793-5884, 
21497,179,203020017,Renaissance Christian Academy,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)436-1011,235 Eastgate Drive,Pittsbrugh,PA,15235,0,Principal, ,Rosemary, ,Moriarty, , 
21498,180,227046205,Rhema Christian School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)269-9555,1301 Coraopolis Heights Rd,Moon Township,PA,15108,2920,Principal, ,Christopher, ,Berndt, , 
21499,181,300028320,Richland Township,"Other Private, Non-Licensed Entity",Allegheny IU 3,(724)443-5921,4011 Dickey Rd,Gibsonia,PA,15044,9713, , , , , , , 
21500,182,300028340,Right Start Family Dev,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)624-6040,1835 Centre Ave,Pittsburgh,PA,15219,4305, , , , , , , 
21501,183,300029640,Riverview Childrens Center Inc,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)828-2585,655 Sylvan Way,Verona,PA,15147,1162,Principal,Ms,Elizabeth, ,Lisowski, , 
21502,184,203024755,Robinson Township Christian School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)787-5919,77 Phillips Ln,Mc Kees Rocks,PA,15136,1021,Principal,Mr,Art, ,Broadwick, , 
21503,185,300028450,Royal Oak Nursery School & Kdg,"Licensed, Private Academic School",Allegheny IU 3,(412)487-1668,4413 Mt Royal Blvd,Allison Park,PA,15101,0,Director,Ms,Joanne, ,Potlas,(412)487-3245, 
21504,186,300028360,RYF Preschool,"Licensed, Private Academic School",Allegheny IU 3,(724)443-3796,5554 Community Center Dr,Gibsonia,PA,15044,0,Director, ,Jennifer, ,Nicotra,(412)874-8412, 
21505,187,300028500,Sacred Heart Cafeteria,"Other Private, Non-Licensed Entity",Pittsburgh-Mt Oliver IU 2, ,154 Orchard Ave,Pittsburgh,PA,15202,1532, , , , , , , 
21506,188,202024855,Sacred Heart Elementary School,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)441-1582,325 Emerson Street,Pittsburgh,PA,15206,0,Principal,Sr,Lynn, ,"Rettinger, SC", , 
21507,189,202023425,Saint Maria Goretti,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)621-5199,321 Edmond Street,Pittsburgh,PA,15224,0,Principal,Sr,Mary John, ,"Cook,SHS", , 
21508,190,300029360,Salvation Army,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,250 Shady Ave,Pittsburgh,PA,15206,4316, , , , , , , 
21509,191,203024227,Scott Township Kumon Center,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)608-4171,2101 Greentree Road,Pittsburgh,PA,15220,0,Principal, ,Rina, ,DelSignore, , 
21510,192,300028700,Seabright St Group Home,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,227 Seabright St,Pittsburgh,PA,15214,3617, , , , , , , 
21511,193,203025205,Serra Catholic High School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)751-2020,200 Hershey Dr,McKeesport,PA,15132,7000,Principal,Mr,Timothy,J,Chirdon, , 
21512,194,300028520,Seton Hall,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,142 Allegheny Ave,Pittsburgh,PA,15202,1402, , , , , , , 
21513,195,203024805,Seton Lasalle High School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)561-3583,1000 McNeilly Rd,Pittsburgh,PA,15226,2513,Principal, ,Lauren, ,Martin, , 
21514,196,203025225,Sewickley Academy,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)741-2230,315 Academy Ave,Sewickley,PA,15143,1213,Principal,Mr,Kolia,J,O'Connor, , 
21515,197,300021470,Sewickley Care & Dev CT,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,325 Church Ln,Sewickley,PA,15143,1013, , , , , , , 
21516,198,202025235,Shady Lane School,"Other Private, Non-Licensed Entity",Pittsburgh-Mt Oliver IU 2,(412)243-4040,100 N Braddock Ave,Pittsburgh,PA,15208,2509, , , , , , , 
21517,199,203025245,Shady Side Academy Junior Sch,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)473-4400,400 S Braddock Ave,Pittsburgh,PA,15221,3215,Principal,Ms,Ellen, ,McConnell, , 
21518,200,203025265,Shady Side Academy Middle Sch,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)968-3100,500 Squaw Run Rd E,Pittsburgh,PA,15238,1950,Principal,Ms,Amy,N,Nixon, , 
21519,201,203025255,Shady Side Academy Senior Sch,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)968-3000,423 Fox Chapel Rd,Pittsburgh,PA,15238,2247,Principal, ,Katharine, ,Vavpetic, , 
21520,202,300020270,Shuman Center Annex,"Other Private, Non-Licensed Entity",Pittsburgh-Mt Oliver IU 2, ,950 2nd Ave,Pittsburgh,PA,15219,3100, , , , , , , 
21521,203,300025050,Shuman Center Det Home,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,7150 Highland Dr,Pittsburgh,PA,15206,1206, , , , , , , 
21522,204,203020011,Sister Thea Bowman Catholic Academy,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)242-3515,721 Rebecca Avenue,Wilkinsburg,PA,15221,0,Principal, ,April, ,Perry, , 
21523,205,302020000,Small Wonders at UPMC,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)687-3677,3875 Bigelow Blvd.,Pittsburgh,PA,15213,0,Director,Ms,Kelly,R,VanLaningham,(724)256-8820, 
21524,206,303022453,Solid Foundations Academy,"Licensed, Private Academic School",Allegheny IU 3,(412)913-8980,119 Neely School Rd,Wexford,PA,15090,0,Director,Ms,Beth, ,Rupert,(412)913-8980, 
21525,207,203020016,Solid Rock Christian Academy,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)241-5228,9905 Frankstown Road,Penn Hills,PA,15235,0,Principal, ,Monique,E,Powell, , 
21526,208,203020006,Sonshine Christian Center,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)731-5501,729 Wallace Ave.,Pittsburgh,PA,15221,0,Principal, ,Sandy,L,Williams, , 
21527,209,300020120,South Area Dev Ctr of ARC,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,3319 W Liberty Ave,Pittsburgh,PA,15216,2201, , , , , , , 
21528,210,303020034,Southwood School,"Licensed, Private Academic School",Allegheny IU 3,(724)257-2290,311 Station St,Bridgeville,Pa,15017,0,Director,Mr,Ryan,P,Bistarkey,(412)206-2020, 
21529,211,300028670,Spina Bifida Assoc of W PA,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,134 Shenot Rd,Wexford,PA,15090,7455, , , , , , , 
21530,212,203025345,St Agnes School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)466-6238,653 Saint Agnes Lane,West Mifflin,PA,15122,2924,Principal,Sr,Cynthia, ,Wessel, , 
21531,213,203025385,St Alexis School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(724)935-3940,10090 Old Perry Hwy,Wexford,PA,15090,9318,Principal,Mr,James, ,Correll, , 
21532,214,202025205,St Ann School,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,400 Lincoln Ave,Pittsburgh,PA,15237,1951, , , , , , , 
21533,215,203025525,St Anne School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)561-7720,4040 Willow Ave,Pittsburgh,PA,15234,1322,Principal,Ms,Harmony, ,Stewart, , 
21534,216,202025455,St Anthony School Programs at Bishop Canevin HS,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(724)940-9020,2700 Morange Road,Pittsburgh,PA,15205,0,Principal,Mrs,Lisa,M,George, , 
21535,217,202025475,St Anthony School Programs at Serra Catholic HS,"Nonpublic, Non-Licensed School",Allegheny IU 3,(724)940-9020,200 Hershey Dr,McKeesport,PA,15132,0,Principal,Mrs,Lisa,M,George, , 
21536,218,203020014,St Anthony School Programs at St Mary,"Nonpublic, Non-Licensed School",Allegheny IU 3,(724)940-9020,2510 Middle Road,Glenshaw,PA,15116,0,Principal, ,Lisa, ,George, , 
21537,219,203025575,St Anthony School Programs at St Thomas More,"Nonpublic, Non-Licensed School",Allegheny IU 3,(724)940-9020,St Thomas More,Pittsburgh,PA,15241,0,Principal,Mrs,Lisa,M,George, , 
21538,220,203020015,St Anthony School Programs at St. Therese,"Nonpublic, Non-Licensed School",Allegheny IU 3,(724)940-9020,3 St. Therese Court,Munhall,PA,15120,0,Principal, ,Lisa, ,George, , 
21539,221,300028710,St Anthonys Hall,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,146 Allegheny Ave,Pittsburgh,PA,15202,1402, , , , , , , 
21540,222,202025745,St Bede School,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)661-9425,6920 Edgerton Ave,Pittsburgh,PA,15208,2823,Principal,Mrs,Rebecca, ,Page, , 
21541,223,202027885,St Benedict the Moor,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)682-3755,631 Watt Street,Pittsburgh,PA,15219,0,Principal, ,Lauren, ,Rudy, , 
21542,224,203025785,St Bernadette School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)372-7255,245 Azalea Dr,Monroeville,PA,15146,1729,Principal,Sr,Carol, ,"Arch, CSJ", , 
21543,225,203025805,St Bernard School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)341-5444,401 Washington Rd,Pittsburgh,PA,15216,1621,Principal,Sr,Daniela, ,Bronka, , 
21544,226,203025825,St Bonaventure School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)486-2606,2001 Mount Royal Blvd,Glenshaw,PA,15116,2020,Principal,Mrs,Jacqueline,B,Easley, , 
21545,227,202026165,St Edmunds Academy,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)521-1907,5705 Darlington Rd,Pittsburgh,PA,15217,1511,Principal,Dr,William,L,Kindler, , 
21546,228,203026195,St Elizabeth Elementary School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)881-2958,1 Grove Pl,Pittsburgh,PA,15236,0,Principal,Mrs,Linda,C,Bechtol, , 
21547,229,202026225,St Elizabeth HS,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,1 Grove Place,Pittsburgh,PA,15236,0, , , , , , , 
21548,230,202026345,St Gabriel School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)882-3353,5200 Greenridge Dr,Pittsburgh,PA,15236,0,Principal, ,Donald, ,Militzer, , 
21549,231,203026565,St James School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)741-5540,201 Broad St,Sewickley,PA,15143,1524,Principal,Sr,Christine, ,"Hill, CSJ", , 
21550,232,202027805,St John Bosco Academy Inc,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)563-0858,2690 Waddington Ave,Pittsburgh,PA,15226,1759,Principal,Mrs,Janet,S,Rakoczy, , 
21551,233,203026685,St John the Baptist School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)793-0555,418 Unity Center Rd,Pittsburgh,PA,15239,1320,Principal, ,Phillip, ,Quattrone, , 
21552,234,203026785,St Joseph High School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(724)224-5552,800 Montana Ave,Natrona Heights,PA,15065,2026,Principal,Mrs,Beverly,K,Kaniecki, , 
21553,235,203026945,St Joseph School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)828-7213,825 2nd Avenue,Verona,PA,15147,0,Principal,Sr,Jean, ,"Uzupis, CSJ", , 
21554,236,202027085,St Louise De Marillac School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)835-0600,310 McMurray Rd,Pittsburgh,PA,15241,1616,Principal,Mr,Kenneth, ,Klase, , 
21555,237,203027105,St Malachy School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)771-4545,343 Forest Grove Rd,Coraopolis,PA,15108,3761,Principal,Mrs,Catherine, ,Militzer, , 
21556,238,300028740,St Mary Hall,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,144 Allegheny Ave,Pittsburgh,PA,15202,1402, , , , , , , 
21557,239,300029150,St Matthew Brighton Hts Campus,"Other Private, Non-Licensed Entity",Pittsburgh-Mt Oliver IU 2, ,3830 California Ave,Pittsburgh,PA,15212,1634, , , , , , , 
21558,240,203027745,St Philip Grade School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)928-2742,52 W Crafton Ave,Pittsburgh,PA,15205,2825,Principal,Sr,Geri, ,"Marr, SC", , 
21559,241,202027825,St Raphael Elementary School,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)661-0288,1154 Chislett St,Pittsburgh,PA,15206,1304,Principal, ,Kristen, ,Schwalm, , 
21560,242,202027945,St Rosalia Academy,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)521-3005,411 Greenfield Ave,Pittsburgh,PA,15207,1049,Principal, ,Sean, ,Davis, , 
21561,243,203028025,St Sylvester School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)882-8593,30 West Willock Road,Pittsburgh,PA,15227,0,Principal,Sr,Barbara Anne, ,"Quinn, R.S.M", , 
21562,244,203028065,St Teresa of Avila School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)367-9001,800 Avila Court,Pittsburgh,PA,15237,0,Principal,Sr,Karen, ,Brink, , 
21563,245,203028045,St Therese School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)462-8163,3 Saint Therese CT,Munhall,PA,15120,3701,Principal,Mr,Jonathan, ,Cuniak, , 
21564,246,203028105,St Thomas More School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)833-1412,134 Fort Couch Rd,Pittsburgh,PA,15241,1032,Principal, ,Joseph, ,Rosi, , 
21565,247,303023402,STEM Steps,"Licensed, Private Academic School",Allegheny IU 3,(724)935-4005,3281 Wexford Rd,Gibsonia,PA,15044,0,Director, ,Heather, ,Tetmyer,(724)272-6738, 
21566,248,300028940,Stepping Stones Childrens Ctr,"Other Private, Non-Licensed Entity",Allegheny IU 3,(724)625-2199,712 Warrendale Rd,Gibsonia,PA,15044,6145,Executive Director,Mrs,Beth, ,Sarver,(724)625-2199,225
21567,249,203028255,Temple Emanuel Nur Sch,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)279-7687,1250 Bower Hill Rd,Pittsburgh,PA,15243,1304, , , , , , , 
21568,250,303020039,Tender Care Learning Center,"Licensed, Private Academic School",Allegheny IU 3,(724)934-0411,10 N Meadows Dr,Wexford,PA,15090,0,Director,Ms,Debra,L,Romanelli,(412)635-8071, 
21569,251,300028525,Therapeutic Learning Center,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)942-0405,2644 Banksville Rd,Pittsburgh,PA,15216,0,Director, ,Heidi, ,Gardner,(412)977-5934, 
21570,252,203028117,Three Rivers Village School,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)408-3388,134 E Elizabeth St,Pittsburgh,PA,15207,0,Principal, ,Maggie, ,Bogdonich, , 
21571,253,300028540,Three Rivers Yh Academy House,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,253 Academy Ave,Pittsburgh,PA,15228,1249, , , , , , , 
21572,254,300028550,Three Rivers Yh Brighton House,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,3867 Brighton Rd,Pittsburgh,PA,15212,1601, , , , , , , 
21573,255,300028530,Three Rivers Yh Humphrey House,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,508 Franklin Ave,Wilkinsburg,PA,15221,2804, , , , , , , 
21574,256,300028580,Three Rivers Yh Int Treat Unit,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,2051 Termon Ave,Pittsburgh,PA,15212,1700, , , , , , , 
21575,257,300028560,Three Rivers Yh Mt Lebanon Hse,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,124 Mount Lebanon Blvd,Pittsburgh,PA,15228,1822, , , , , , , 
21576,258,300028590,Three Rivers Yh Youth Center,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,200 N Dithridge St,Pittsburgh,PA,15213,1405, , , , , , , 
21577,259,300029390,Three Rivers Youth,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)766-2215,2039 Termon Ave,Pittsburgh,PA,15212,1799, , , , , , , 
21578,260,300029420,Tolatr Academy,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)361-7733,1112 N Negley Ave,Pittsburgh,PA,15206,0,Director,Dr,Carole,L,Taylor,(412)661-2415, 
21579,261,303020001,Total Learning Centers,"Licensed, Private Academic School",Allegheny IU 3,(724)940-1090,12045 Perry Highway,Wexford,PA,15090,0,Director,Mr,Joe,M,Utay,(724)272-2580, 
21580,262,300028830,Training Wheels,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)322-0585,1214 Liverpool St,Pittsburgh,PA,15233,0,Director,Ms,Deborah, ,Robinson,(412)322-0585, 
21581,263,203021355,Trinity Christian School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)242-8886,299 Ridge Avenue,Pittsburgh,PA,15221,0,Principal,Mr,Kennedy,S,Henriquez, , 
21582,264,300029540,Univ Health Ctr Matilda Theiss,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,373 Burrows St,Pittsburgh,PA,15213,2261, , , , , , , 
21583,265,202023515,Universal Academy of Pittsburgh,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)241-2124,2103 Hampton Street,Pittsburgh,PA,15218,0,Principal,Dr,Admed, ,Abdelwahab, , 
21584,266,300029613,University of Pittsburgh,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)383-2100,635 Clyde St,Pittsburgh,PA,15213,2901, , , , , , , 
21585,267,300028890,University School,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)361-7182,5711 Howe St,Pittsburgh,PA,15232,0,Director,Ms,Nicole, ,Jarock,(412)600-3775, 
